artikel_nr,bezeichnung,werkstoff,abmessungen,einheit,basispreis_eur,zkalk_offset_eur,preis_min_eur,preis_max_eur,sales_group,material_group,n_offers
00045300KS0001,RWDR 20x26x3 reiopt HS21037,,20x26x3,ST,33.1792,0.0,17.171,47.9066,,Distribution,4
00047900KS0001,RWDR 85x105x16 Doli HS21037,,85x105x16,ST,119.7399,0.0,105.07,126.0441,,Compressor,5
00048000KS0001,Kolben D180 HS21037,,,ST,212.6564,0.0,178.998,313.6911,,Fluidtechnology,3
00052200KS0001,Kolbenring 685 Rev. AC,,,ST,522.7957,0.0,476.418,629.9691,VG 26 - Energy,Energy Transfer & Distribution,3
00052300KS0001,Kolbenring 490 Rev. AF,,,ST,312.1909,0.0,230.09,587.86,VG 26 - Energy,Energy Transfer & Distribution,5
00053600KS0001,RWDR 110x130x12 HN2390 HS21037,,110x130x12,ST,115.045,0.0,92.036,181.944,,PTFE,3
00057000KS0001,RWDR 35x47x5 HN2390 reiopt HS21037,,35x47x5,ST,80.2585,0.0,80.2585,80.2585,,Machine Tools/Painting,1
00058500KS0001,RWDR 70x90x10 HN2580 reiopt HS21059,,70x90x10,ST,102.3701,0.0,102.3701,102.3701,,PTFE,1
00058700KS0001,RWDR 85x110x10 HN2580 reiopt  HS21059,,85x110x10,ST,115.577,0.0,115.577,115.577,,Distribution,2
00059500KS0001,Verteiler 8410-6621-038,,,ST,1299.011,0.0,1057.882,1540.14,,Food/Pharma,2
00059600KS0001,Verteilerdeckel 8410-6630-010,,,ST,928.872,0.0,607.4671,1170.666,VG 30 - Industrial Solutions,Food/Pharma,3
00059700KS0001,RWDR 100x130x12 HN2390 neg. reiopt,,100x130x12,ST,203.1575,0.0,166.25,219.45,,General Mechanical Eng.,4
00060200KS0001,"Membrane DN6-25,  HS22121",,DN6,ST,26.2402,0.0,21.1643,73.2936,,Fluidtechnology,6
00060900KS0100,"Dichtlippe  5,5x18x1 HS22111",,"5,5x18x1",ST,1.3053,0.0,1.2753,1.3452,,Machine Tools/Painting,3
00061000KS0100,Dichtlippe 7x22x1 HS22111,,7x22x1,ST,1.3583,0.0,1.3539,1.3626,,Machine Tools/Painting,2
00061200KS0001,"PTFE Schlauch; 2-lumig, 2,1x2,55x3000",PTFE,"2,1x2,55x3000",ST,23.5191,0.0,20.6081,29.4407,VG 27 - Medical,PTFE,3
00061400KS0001,Schlauch 2-lum.verj.farbm. HS11007,,,ST,25.7199,0.0,23.5002,33.8517,,PTFE,3
00062400KS0001,"RWDR 8x21,3x3,7 HS21060",,"8x21,3x3,7",ST,9.2834,0.0,8.9216,9.5973,,General Mechanical Eng.,3
00067900KS0001,Kaskadenhülse FUTUR 20 X03 HS 22216,,20X03,ST,26.866,0.0,26.201,27.531,VG 31 - Semicon/Chemistry,Fluidtechnology,2
00073300KS0001,Transferschlauch gerade Lg.1665 mm rw,,,ST,122.1206,0.0,119.7,182.875,,Distribution,5
00078000KS0001,Ring PTFE Di 1659mm,PTFE,,ST,1542.8,0.0,1542.8,1542.8,,PTFE,1
00079300KS0001,Verteilerdeckel 8418-6630-010  HS 22177,,,ST,413.9625,0.0,317.205,596.106,,Food/Pharma,4
00081100KS0001,Diffusor FK 1HC0079104 REV. AC,,,ST,656.355,0.0,638.4,674.31,VG 26 - Energy,Energy Transfer & Distribution,2
00093300KS0001,"RC FEP 8"" ungeätzt 0,5 nat 2740",FEP,,ST,825.265,0.0,610.47,1040.06,VG 35 - Distribution,PTFE,2
00095600ET0001,Elringplast W2 FB 40-48-45,,,ST,70.756,0.0,70.756,70.756,VG 35 - Distribution,Distribution,2
00097200KS0001,Lagerschale zweigeteilt AD128x100mm,,128x100,ST,252.5005,0.0,244.587,260.414,VG 31 - Semicon/Chemistry,Corrosion Protection,2
00097600KS0001,Farbring grün W7102207 Ind.00,,,ST,4.2047,0.0,3.9454,4.9826,,Internal medicine,4
00097800KS0001,Farbring rot,,,ST,2.7635,0.0,2.6068,2.9201,,Internal medicine,2
00098000KS0001,Farbring blau W7103637,,,ST,2.8836,0.0,2.5983,3.7393,,PTFE,3
00100700KS0001,RWDR HN2390 30x42x7,,30x42x7,ST,133.7621,0.0,78.0737,134.8154,VG 30 - Industrial Solutions,General Mechanical Eng.,3
00104200KS0030,EFN URX-A60-811-HS4080-C,,,ST,44.3023,0.0,44.3023,44.3023,VG 27 - Medical,PTFE,1
00105000KS0001,RWDR 85x110x10 HN2390 C22 HS21037,,85x110x10,ST,155.0115,0.0,131.138,178.885,,PTFE,2
00105900KS0050,"EMX 50x40x6,3 HS21037EM",,"50x40x6,3",ST,18.2875,0.0,18.2875,18.2875,,Food/Pharma,2
00106100KS0001,Führungsring D28 vorgeformt HS22104,,,ST,0.7173,0.0,0.7173,0.7173,VG 20 - Mobility,Gasoline Engine,1
00106200KS0001,Führungsring D57 vorgeformt HS22104,,,ST,1.0498,0.0,1.0498,1.0498,VG 20 - Mobility,Gasoline Engine,1
00106400KS0100,Plunger seal GEN 1,,,ST,1.9731,0.0,1.9731,1.9731,VG 20 - Mobility,Gasoline Engine,1
00107300KS0001,"Schlauch grau 0,45-0,05x0,91-0,06",,"0,05x0,91",M,1.2567,0.0,1.1885,1.2664,,Internal medicine,3
00107600KS0015,EFN URX-B6-596HS11031-C/FPM HS11031,,,ST,19.7505,0.0,19.7505,19.7505,,PTFE,1
00108300KS0001,RWDR 60x80x8 HN2390/EPDM,EPDM,60x80x8,ST,62.9037,0.0,46.1523,65.17,,Distribution,3
00108500KS0001,RWDR 40x55x8 HN2580 reiopt HS21059,,40x55x8,ST,140.315,0.0,140.315,260.148,,Distribution,3
00108700KS0001,"Schlauch 1,25x1,9 HS11007",,"1,25x1,9",M,0.9748,0.0,0.8519,1.1439,VG 27 - Medical,General Mechanical Eng.,7
00110400KS0001,"RWDR 44,5x60,95x19,9 sonder",,"44,5x60,95x19,9",ST,243.4632,0.0,164.2785,272.8971,VG 34 - Aerospace,Aerospace,6
00110500KS0001,"RWDR 50x69,95x24,6 2000A1148K01",,"50x69,95x24,6",ST,173.634,0.0,155.3322,191.9359,VG 34 - Aerospace,PTFE,2
00110600KS0001,"RWDR 50x74,35x18 sonder",,"50x74,35x18",ST,415.6383,0.0,415.6383,415.6383,,Aerospace,1
00111100KS0001,"Dichtlippe 280x305x1,5 HS21037",,"280x305x1,5",ST,108.5976,0.0,108.5976,108.5976,,General Mechanical Eng.,1
00111500KS0035,EFN URX-B18-840-HS17100-C,,,ST,8.0946,0.0,6.7629,9.4262,,Fluidtechnology,2
00112100KS0070,EMTX 63x46x7 HS21060,,63x46x7,ST,10.9725,0.0,10.5815,22.5236,,General Mechanical Eng.,3
00113800KS0001,RWDR 20x35x7 HN2580 HS21037,,20x35x7,ST,30.723,0.0,26.4005,60.914,,Distribution,9
00114900KS0001,RWDR 75x100x10 HN2390 neg.HS17034,,75x100x10,ST,133.665,0.0,133.665,133.665,,PTFE,1
00115000KS0001,Wellenschutzhülse 55x60x35 R-DR.,,55x60x35,ST,44.7758,0.0,44.7758,44.7758,,Compressor,1
00115200KS0100,EMT 30x20x3 HS21037,,30x20x3,ST,4.8987,0.0,4.7821,9.879,,Distribution,3
00115600KS0002,Piston Assembly dia 90 anodisé,,,ST,78.6715,0.0,58.512,273.7805,VG 30 - Industrial Solutions,Compressor,6
00115800KS0100,EMT 24x9x3-HS21029,,24x9x3,ST,2.2441,0.0,2.1972,3.0391,,Compressor,3
00118000KS0030,EFN URI-B6-116-HS4080-C,,,ST,26.7944,0.0,20.1406,33.4483,VG 30 - Industrial Solutions,Machine Tools/Painting,2
00118200KS0007,"EKK 31,6x18,2x23,5 HS21059",,"31,6x18,2x23,5",ST,21.554,0.0,21.554,21.554,,General Mechanical Eng.,1
00118500KS0100,"Nadeldichtung 4x7x4,5 HS4080",,"4x7x4,5",ST,3.1561,0.0,2.8941,3.5644,,Fluidtechnology,5
00119500KS0008,Zwischenring 15/25 HS4080/Bz,,,ST,30.733,0.0,30.2774,31.1885,,Fluidtechnology,2
00119600KS0008,Dachmanschette 15/25 HS4080,,,ST,26.449,0.0,23.3947,31.4887,,Fluidtechnology,8
00123500KS0001,"PTFE-Folie 800x305x0,25 geätzt",PTFE,"800x305x0,25",ST,42.3605,0.0,24.9375,59.7835,VG 31 - Semicon/Chemistry,PTFE,2
00136600KS0001,"RC FEP 5"" UNGEÄTZT 0,5 NAT 2130",FEP,,ST,458.85,0.0,379.05,505.4,VG 31 - Semicon/Chemistry,Gasoline Engine,5
00138600KS0001,"RC FEP 4"" ungeätzt 0,5 nat 2440",FEP,,ST,369.74,0.0,312.55,490.371,VG 35 - Distribution,Distribution,5
00138700KS0001,"RC FEP 3,5"" ungeätzt 0,5 nat 910",FEP,,ST,159.6,0.0,106.134,332.5,VG 35 - Distribution,Distribution,11
00138800KS0001,"RC FEP 3"" ungeätzt 0,5 nat 610",FEP,,ST,332.5,0.0,332.5,332.5,VG 35 - Distribution,Distribution,1
00139100KS0001,"RC FEP 2,5"" ungeätzt 0,5 nat 610",FEP,,ST,109.06,0.0,77.406,332.5,VG 35 - Distribution,Distribution,11
00144500KS0001,"RC FEP 6"" UNGEÄTZT 0,5 NAT 2130",FEP,,ST,655.025,0.0,638.4,671.65,VG 35 - Distribution,Distribution,2
00145800KS0001,"RC FEP 8"" UNGEÄTZT 0,5 NAT 2130",FEP,,ST,823.802,0.0,638.4,953.61,VG 35 - Distribution,Distribution,3
00147200KS0001,"PFA-Schlauch 6,00x1,00mm nat SL 50m",PFA,"6,00x1,00",M,5.8121,0.0,5.7855,5.8387,VG 35 - Distribution,PTFE,2
00147500KS0001,"PFA-Schlauch 8,00x1,00mm nat SL 50m",PFA,"8,00x1,00",M,7.0181,0.0,6.964,7.0224,VG 35 - Distribution,Machine Tools/Painting,3
00149300KS0001,"Faltenbalg Ø10,4xØ16,2x69 HS22212",,"Ø16,2x69",ST,32.2392,0.0,30.324,49.21,VG 35 - Distribution,Distribution,14
00149600KS0001,145kV Düse,,,ST,517.37,0.0,517.37,517.37,VG 26 - Energy,Energy Transfer & Distribution,1
00149800KS0001,Isolierrohr 32010436 PTFE RW,PTFE,,ST,36.5883,0.0,32.851,55.062,VG 35 - Distribution,Distribution,12
00150300KS0001,Isolierrohr 32014465 PTFE RW,PTFE,,ST,24.206,0.0,24.206,24.206,VG 35 - Distribution,Distribution,1
00150400KS0001,Isolierrohr 32014466 PTFE RW,PTFE,,ST,29.792,0.0,29.792,29.792,VG 35 - Distribution,Distribution,1
00151000KS0001,"HST 4:1 PTFE 1 3/4"" nat 1600mm",PTFE,,ST,22.5967,0.0,14.896,31.8535,VG 35 - Distribution,PTFE,3
00151200KS0001,PTFE Platte virginal 3000x1000x35 mm,PTFE,3000x1000x35,ST,7215.25,0.0,5748.26,7378.84,VG 35 - Distribution,PTFE,3
00151502KS0001,"PH 04.08 4000 230~3 2,2 3000 Coex™",,,ST,714.21,0.0,714.21,714.21,,Heat Exchangers / Heaters,1
00151800ET0001,M1-M3 Zubehör-Kit (Standard),,,ST,263.34,0.0,263.34,263.34,VG 26 - Energy,Energy Generation,1
00152600KS0001,"PH 01.08 2000 230~2 1,5 2000 PT-100",,,ST,651.7,0.0,578.55,731.5,VG 31 - Semicon/Chemistry,Heat Exchangers / Heaters,6
00155400KS0001,EFN UAX-ID 31-116-HS21037-C,,,ST,21.4046,0.0,21.4046,21.4046,VG 30 - Industrial Solutions,Machine Tools/Painting,1
00156400KS0001,"HST 4:1 PTFE 3/8"" nat Spule 30 m",PTFE,,M,3.4261,0.0,3.4261,3.4261,,Distribution,2
00156700ET0001,HST 2:1 PTFE AWG 3 tw nat Spule,PTFE,,M,4.6694,0.0,3.6822,9.9085,VG 30 - Industrial Solutions,General Mechanical Eng.,6
00157000ET0001,HST 2:1 PTFE AWG 2 tw nat Spule,PTFE,,M,4.3956,0.0,4.1762,4.4222,VG 35 - Distribution,Distribution,3
00157900KS0001,Rohling PTFE+25%Glas,PTFE,,ST,714.21,0.0,615.79,714.21,VG 35 - Distribution,Semi finished Products,3
00158100KS0001,billet HS22171,,,ST,290.605,0.0,164.7604,525.35,VG 35 - Distribution,Distribution,12
00158200KS0001,V-Manschette 36x46x6,,36x46x6,ST,10.8116,0.0,9.6398,13.6897,VG 30 - Industrial Solutions,General Mechanical Eng.,6
00158500KS0001,EFN URX-B 44-984-HS22111-C,,,ST,20.7387,0.0,20.7387,20.7387,,General Mechanical Eng.,1
00158600KS0001,"V-Manschette 30x46x8,5",,"30x46x8,5",ST,11.1055,0.0,9.2541,16.093,VG 30 - Industrial Solutions,General Mechanical Eng.,9
00160500KS0001,"RC FEP 5“ geätzt 0,5 nat 1750 bezogen",FEP,,ST,816.354,0.0,816.354,816.354,VG 31 - Semicon/Chemistry,PTFE,1
00162300KS0001,Faltenbalg Ø50/12x65 HS22121,,12x65,ST,208.278,0.0,208.278,208.278,VG 35 - Distribution,PTFE,2
00165000KS0001,"EMTH 29,6x23,2x4,0 HS22111",,"29,6x23,2x4,0",ST,0.8966,0.0,0.7738,7.98,VG 20 - Mobility,Gasoline Engine,4
00165800KS0001,"RC FEP 5"" UNETCHED 0,5 NAT 910",FEP,,ST,209.874,0.0,209.874,209.874,VG 35 - Distribution,PTFE,1
00166800KS0001,"EMTX  38,8x32,4x3,8 HS22111",,"38,8x32,4x3,8",ST,1.0131,0.0,0.7343,7.98,VG 20 - Mobility,Gasoline Engine,4
00170900KS0001,"PTFE-Schlauch 3,2x3,8mm",PTFE,"3,2x3,8",M,2.1293,0.0,1.6372,2.3415,VG 35 - Distribution,Distribution,11
00171000KS0001,"Nutring 133f7 x 139,14H9 x 4,7 HS21037",,"7x139,14",ST,42.3672,0.0,37.7055,57.4866,VG 30 - Industrial Solutions,Machine Tools/Painting,5
00173000KS0001,RWDR 2L 150x180x12 HS22102,,150x180x12,ST,324.919,0.0,257.355,527.345,VG 30 - Industrial Solutions,Food/Pharma,3
00174100ET0001,ThermoGenius™ F1 DN200x2600,,200x2600,ST,4389.0,0.0,3990.0,7315.0,VG 26 - Energy,Heat Exchangers / Heaters,23
00174300KS0001,"RB-WT PVDF DN150x785 4,2",PVDF,150x785,ST,10088.05,0.0,10088.05,10088.05,VG 31 - Semicon/Chemistry,Heat Exchangers / Heaters,3
00175100KS0001,"RB-WT PP DN100x1085 1,95",PP,100x1085,ST,3876.95,0.0,3876.95,3876.95,VG 31 - Semicon/Chemistry,Heat Exchangers / Heaters,1
00176200KS0001,RWDR 2L 180x210x12 HS22102,,180x210x12,ST,246.316,0.0,204.82,254.562,VG 32 - Food & Pharma,Food/Pharma,3
00176300KS0001,PFA Schauch 19x16 Länge 6m,PFA,19x16,ST,169.9507,0.0,137.0565,186.0723,VG 30 - Industrial Solutions,General Mechanical Eng.,4
00176600KS0001,"RC PFA 8"" UNGEÄTZT 0,6 NAT 3050",PFA,,ST,3125.5,0.0,3125.5,3125.5,VG 35 - Distribution,Distribution,1
00176900KS0001,RWDR 2L 140x170x12 HS22102,,140x170x12,ST,209.9405,0.0,172.634,2172.688,VG 30 - Industrial Solutions,Food/Pharma,11
00177000KS0001,"RC FEP 7"" UNGEÄTZT 0,5 NAT 610",FEP,,ST,332.5,0.0,332.5,332.5,VG 35 - Distribution,Distribution,1
00177900KS0001,Membrane Ø197x1 PTFE r.w.,PTFE,Ø197x1,ST,124.5545,0.0,109.5654,185.2158,VG 30 - Industrial Solutions,General Mechanical Eng.,5
00178100KS0001,RWDR 2L 95x125x12 HS22102,,95x125x12,ST,414.029,0.0,179.55,648.508,VG 30 - Industrial Solutions,Food/Pharma,2
00178600KS0001,RWDR 3L 140x170x12 HS22102,,140x170x12,ST,396.34,0.0,272.65,1073.31,VG 30 - Industrial Solutions,Food/Pharma,5
00178700KS0001,RWDR 2L 140x170x12 HS22102,,140x170x12,ST,188.062,0.0,161.8344,507.528,VG 30 - Industrial Solutions,Food/Pharma,7
00179100KS0001,Wellendichtring 120x150x12 PTFE,PTFE,120x150x12,ST,1166.942,0.0,247.38,2194.899,VG 30 - Industrial Solutions,Food/Pharma,7
00179300KS0001,RWDR 2L 100x130x12 HS22102,,100x130x12,ST,213.6512,0.0,134.2502,1202.3865,VG 30 - Industrial Solutions,Food/Pharma,14
00180300KS0001,HST 2:1 PTFE AWG 13 lw nat Spule,PTFE,,M,4.2081,0.0,3.2832,5.2535,VG 34 - Aerospace,Distribution,28
00180900KS0001,RWDR 3L 140x170x12 HS22102,,140x170x12,ST,814.9575,0.0,344.47,1689.1,VG 30 - Industrial Solutions,Food/Pharma,8
00181000KS0001,RWDR 3L 150x180x12 HS22102,,150x180x12,ST,504.07,0.0,327.18,1034.74,VG 30 - Industrial Solutions,Food/Pharma,5
00181300KS0001,RWDR 3L 180x210x12 HS22102,,180x210x12,ST,780.71,0.0,333.83,1056.951,VG 30 - Industrial Solutions,Food/Pharma,4
00181400KS0001,RWDR 3L 120x150x12 HS22102,,120x150x12,ST,2320.85,0.0,2320.85,2320.85,VG 30 - Industrial Solutions,Food/Pharma,1
00182000KS0001,RWDR 3L 95x125x12 HS22102,,95x125x12,ST,549.2235,0.0,327.18,1218.147,VG 30 - Industrial Solutions,Food/Pharma,6
00184200KS0001,Dichtscheibe DN150 HS17021,,DN150,ST,14.7669,0.0,13.4575,16.0764,VG 30 - Industrial Solutions,Compressor,2
00185000KS0001,PTFE Schlauch 4x5x143,PTFE,4x5x143,ST,0.1232,0.0,0.1232,0.1232,VG 20 - Mobility,Transmission,1
00186500KS0001,Piston Ø85 incl. Ring + Lamination,,,ST,347.4825,0.0,117.306,374.6876,VG 30 - Industrial Solutions,Compressor,8
00187100KS0001,"FB-WT PE 450x790x150 16,75 6xDN125",PE,450x790x150,ST,6896.05,0.0,6896.05,6896.05,VG 31 - Semicon/Chemistry,Heat Exchangers / Heaters,1
00187500KS0001,WDR HN 2390 60x80x8 HS 17034,,60x80x8,ST,159.8125,0.0,135.261,770.07,VG 30 - Industrial Solutions,Food/Pharma,6
00188100KS0001,Platte PTFE 60% BZ 2000+50x1000x10+2,PTFE,50x1000x10,ST,2973.88,0.0,2888.76,3571.05,VG 35 - Distribution,PTFE,3
00188200KS0001,"RC FEP 12"" UNGEÄTZT 0,5 NAT 1520",FEP,,ST,705.4985,0.0,539.315,1168.405,VG 35 - Distribution,Corrosion Protection,8
00190800KS0001,"Folie TFM1700 300+10X0,14±0,01 MM",,"10X0,14",M,8.9775,0.0,5.852,10.7065,VG 35 - Distribution,Machine Tools/Painting,5
00202500KS0001,ElroSeal HN2390 90x120x12,,90x120x12,ST,55.2615,0.0,46.683,60.914,VG 30 - Industrial Solutions,Food/Pharma,6
00203000ET0001,Folie PTFE virginal 1500x1500x2 mm,PTFE,1500x1500x2,ST,206.15,0.0,172.9,212.8,VG 35 - Distribution,Semi finished Products,7
00203100ET0001,Folie PTFE virginal 1500x1500x3 mm,PTFE,1500x1500x3,ST,309.225,0.0,3.192,332.5,VG 35 - Distribution,Semi finished Products,15
00205800KS0001,Faltenbalg Umschaltventil PTFE reinweiß,PTFE,,ST,71.288,0.0,20.482,706.762,VG 30 - Industrial Solutions,Food/Pharma,10
00205900KS0001,Guide Strip Piston Expansion | Ø80,,,ST,56.5982,0.0,54.0645,59.1318,VG 26 - Energy,PTFE,2
00206000KS0001,Econolring Satz rechts Ø1.344mm,,,ST,11147.4482,0.0,9180.9988,11258.9227,VG 27 - Medical,PTFE,3
00206200KS0001,"RC FEP 9"" GEÄTZT 0,5 NAT 3050",FEP,,ST,1387.7885,0.0,1353.94,1492.7189,VG 35 - Distribution,PTFE,4
00206800KS0001,Piston Ring D80 Upper,,,ST,17.5693,0.0,16.3989,18.7397,VG 26 - Energy,PTFE,2
00206900KS0001,Piston Ring D80 Lower,,,ST,17.5693,0.0,16.3989,18.7397,VG 26 - Energy,PTFE,2
00207600ET0001,ThermoGenius™ F1 DN200x2372 ohne Füße,,200x2372,ST,4069.8,0.0,4069.8,4069.8,VG 26 - Energy,Energy Generation,1
00211600KS0001,Nutring F03/7755 Rev. 10,,,ST,171.836,0.0,171.836,171.836,VG 35 - Distribution,Distribution,1
00211800KS0001,"PTFE Schlauch 4,0x4,9 artiyal blue",PTFE,"4,0x4,9",M,1.4774,0.0,1.1697,2.1841,VG 27 - Medical,Internal medicine,15
00216520ET0001,Mehrk.-Flachstr.Düse Set,,,ST,55.1741,0.0,24.1912,84.3771,VG 35 - Distribution,Gasoline Engine,7
00223600KS0001,RWDR 40x50x5 HS21060,,40x50x5,ST,33.5187,0.0,22.6895,108.1497,VG 34 - Aerospace,Aerospace,9
00224400KS0001,"PTFE Schlauch 8,6x10,2 natur GUJ.MGN7065",PTFE,"8,6x10,2",M,3.9368,0.0,3.9368,3.9368,VG 35 - Distribution,Distribution,1
00227800KS0001,Scheuerschutzwendel,,,M,24.1805,0.0,19.578,42.9166,,Aerospace,12
00232500KS0001,RWDR Sonder 60x80x7 HS21037,,60x80x7,ST,244.5398,0.0,193.1599,369.2627,VG 34 - Aerospace,Aerospace,4
00234500KS0001,Platte PTFE+25%Kohle 1200x1200x6mm,"PTFE, KOHLE",1200x1200x6,ST,729.505,0.0,663.67,796.67,VG 35 - Distribution,Semi finished Products,4
00235100KS0001,Rohling PTFE+25%Kohle Ø75 x 300 mm,"PTFE, KOHLE",Ø75x300,ST,113.316,0.0,112.651,113.848,VG 35 - Distribution,Semi finished Products,3
00237200KS0001,"Dual PTFE/FEP 4,3x1,0 schwarz 1220","PTFE, FEP","4,3x1,0",ST,12.4137,0.0,9.975,12.725,VG 35 - Distribution,Distribution,3
00241900KS0001,"EFN URX-B 3,6-048-HS22116-C",,,ST,10.563,0.0,10.563,10.563,VG 30 - Industrial Solutions,Machine Tools/Painting,1
00242400KS0001,Tip Bearing Recess (MIM)- Erstbemuster.,,,ST,6526.975,0.0,6526.975,6526.975,VG 27 - Medical,PTFE,1
00244900KS0001,RWDR 48x62x8 HN2590 HS21059,,48x62x8,ST,202.9573,0.0,146.9903,258.9244,VG 30 - Industrial Solutions,PTFE,2
00245600KS0001,RWDR 30x47x7 HN2580 reiopt HS21059,,30x47x7,ST,159.6,0.0,159.6,159.6,VG 20 - Mobility,Gasoline Engine,2
00247300KS0001,"Schlauch natur 1,6+-0,1 x 3,2+-0,1",,"0,1x3,2",M,4.2932,0.0,2.5935,30.457,,PTFE,8
00247800KS0085,"Kolbenring D78,4",,,ST,6.0781,0.0,5.9983,6.1579,,Compressor,2
00248100KS0144,Kolbenring D61,,,ST,5.3229,0.0,5.2269,5.419,,Compressor,2
00248200KS0024,Kolbenring D71,,,ST,5.7589,0.0,5.4264,6.0914,,Compressor,2
00248300KS0085,"Kolbenring D56,5",,,ST,5.1138,0.0,4.5353,5.6924,,Compressor,2
00250200KS0005,"EFN CAI-AD270,0-316-HS17022-C",,,ST,98.4639,0.0,93.4724,113.4224,,Fluidtechnology,3
00252400KS0030,Spring guide HS17022,,,ST,12.7195,0.0,12.7195,12.7195,VG 27 - Medical,Device medicine,1
00253800KS0001,Sleeves size 45x40x20 LD,,45x40x20,ST,36.5484,0.0,19.8702,242.5388,VG 30 - Industrial Solutions,Compressor,19
00254000KS0100,"Schlauch 2,2x3,0x2000 get.HS10008",,"2,2x3,0x2000",ST,5.4474,0.0,5.2302,6.114,VG 27 - Medical,PTFE,3
00254700KS0001,Dichtplatine MET-S SS 9/13 HS 22102,,,ST,365.75,0.0,172.9,891.1,,PTFE,4
00257200KS0001,"RB-WT PVDF DN125x450 0,8",PVDF,125x450,ST,6151.25,0.0,5782.175,6151.25,VG 31 - Semicon/Chemistry,Heat Exchangers / Heaters,4
00259100KS0001,RWDR 15x30x7 HN2390 HS17034,,15x30x7,ST,211.4966,0.0,101.6878,432.1569,VG 30 - Industrial Solutions,Food/Pharma,22
00259300KS0001,RWDR 105x130x12 HN2390 HS21037,,105x130x12,ST,108.927,0.0,36.575,181.279,VG 35 - Distribution,Distribution,2
00259800KS0100,Schlauchstück verjüngt HS11005,,,ST,29.451,0.0,29.451,29.451,,Device medicine,1
00259900KS0001,RWDR 12x22x7 HN2390 HS21037,,12x22x7,ST,85.785,0.0,85.785,85.785,,PTFE,1
